DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Mar-2026,EQ,"1,949.90","1,958.30","1,930.50","1,941.10","1,933.00","1,932.90","1,941.49","2,747.40","1,919.00",289862,"56,27,62,767.80",24084
16-Mar-2026,EQ,"1,960.00","1,970.70","1,919.00","1,957.20","1,938.70","1,941.10","1,943.39","2,747.40","1,919.00",358075,"69,58,79,576.50",27038
13-Mar-2026,EQ,"1,969.70","1,995.00","1,951.00","1,975.80","1,964.00","1,957.20","1,969.45","2,747.40","1,951.00",660968,"1,30,17,44,028.60",35163
12-Mar-2026,EQ,"2,040.00","2,040.00","1,962.20","2,055.60","1,971.00","1,975.80","1,990.95","2,747.40","1,962.20",836489,"1,66,54,06,549.20",57610
11-Mar-2026,EQ,"2,198.30","2,198.30","2,046.00","2,198.30","2,051.00","2,055.60","2,091.62","2,747.40","2,029.40",1659346,"3,47,07,29,110.30",90186
10-Mar-2026,EQ,"2,160.00","2,210.70","2,159.20","2,156.30","2,209.00","2,198.30","2,192.94","2,747.40","2,029.40",368736,"80,86,16,270.20",24363
09-Mar-2026,EQ,"2,193.00","2,193.00","2,140.70","2,204.60","2,160.00","2,156.30","2,156.21","2,747.40","2,029.40",309055,"66,63,88,146.10",31642
06-Mar-2026,EQ,"2,200.10","2,220.00","2,196.40","2,200.60","2,205.00","2,204.60","2,205.94","2,747.40","2,029.40",233352,"51,47,60,005.00",19198
05-Mar-2026,EQ,"2,191.00","2,212.20","2,167.00","2,183.70","2,199.00","2,200.60","2,189.35","2,747.40","2,029.40",258081,"56,50,29,336.00",22899
04-Mar-2026,EQ,"2,198.50","2,204.40","2,178.10","2,214.90","2,186.00","2,183.70","2,192.68","2,747.40","2,029.40",272457,"59,74,10,810.20",29060
02-Mar-2026,EQ,"2,198.80","2,239.90","2,197.00","2,254.50","2,228.40","2,214.90","2,220.47","2,747.40","2,029.40",226434,"50,27,89,056.00",18355
27-Feb-2026,EQ,"2,301.00","2,301.60","2,243.60","2,295.30","2,253.90","2,254.50","2,260.75","2,747.40","2,029.40",577821,"1,30,63,08,006.50",45480
26-Feb-2026,EQ,"2,283.00","2,301.30","2,262.40","2,270.40","2,301.00","2,295.30","2,280.95","2,747.40","2,029.40",444641,"1,01,42,05,738.30",25228
